E_cm,S_factor
72.3996723996724, 8.799225435691056
89.76248976248974, 4.814372420784348
94.02129402129401, 4.236274826185516
108.43570843570839, 3.5287350208467507
117.60851760851759, 4.1595621630718425
126.78132678132675, 4.9031614123032545
136.28173628173624, 4.475006297250443
145.4545454545454, 6.105402296585327
155.61015561015557, 5.779692884153313
164.78296478296477, 7.196856730011514
174.6109746109746, 7.742636826811262
184.11138411138407, 9.64110880490748
194.59459459459458, 13.643337888343618
252.57985257985257, 29.935772947204903
261.7526617526617, 39.37658923564384
270.27027027027026, 55.72264795507162
282.7190827190827, 81.78966185841676
301.064701064701, 310.5013495124854
301.064701064701, 372.7593720314938