Run,Target,Scan,Energy,Y,Y_error,Charge
581,IMP_LTA#1,Scan 1,220.4095297,0.22162431176018435,0.00012580485897373646,14003047.741170058
605,IMP_LTA#1,Scan 2,225.7703698,4.304423841592477,0.0004613033100058372,20227484.943314213
641,SUDF#3,Scan 1,250.1221126,11.51280587462793,0.002206172527264211,2365387.173379629
653,SUDF#3,Scan 2,250.1221126,10.378222672120549,0.0007910884572766082,16583373.755628163
668,SUDF#3,Scan 3,250.1320456,10.40425658189512,0.0007261797218458587,19729806.196727592
746,SUDF#4,Scan 1,210.27,0.06951104233344338,6.649428261941292e-05,15721181.83930421
868,SUDF#4,Scan 4,210.2182717,0.07373035703360616,6.624459160824542e-05,16801400.441614185
983,IMP_LFE#1,Scan 1,200.7094108,0.10028287256698304,9.019338100569758e-05,12327568.69
1097,IMP_LFE#1,Scan 4,235.0636846,22.50936765168695,0.0027712508407809425,2930971.6580300434
1516,IMP_LTA#2,Scan 1,299.9986855,9.283865480697733,0.001051894240919154,8390439.0
1563,IMP_LTA#2,Scan 2,239.998399,5.159209518369998,0.000975062299660967,5426482.855622653
1564,IMP_LTA#2,Scan 2,290.001121,4.018446633031795,0.0005081078532278301,15564901.991198128
1613,IMP_LTA#2,Scan 4,250.0029166,1.133304897262293,0.00044919357972240666,5616680.043805355
1614,IMP_LTA#2,Scan 4,270.0785029,1.0746116956191825,0.00025773229260971553,16177592.4
1589,IMP_LTA#2,Scan 3,280.0005766,2.1268072531245155,0.0003906710260534694,13934960.0
1670,IMP_LTA#2,Scan 6,259.9955146,0.5417596711132953,0.0002170313757193551,11501689.154027574
1784,IMP_LFE#2,Scan 1,237.9879598,12.467658793249305,0.0015615618923427235,5112890.644273612
1785,IMP_LFE#2,Scan 1,231.018967,20.505747869415135,0.0012530190633558552,13060513.619831802
1808,IMP_LFE#2,Scan 2,236.1255223,15.230072808080944,0.0019059148178685818,4192711.7577174203
1810,IMP_LFE#2,Scan 2,233.9998603,18.031940455956388,0.0017487562337611313,5896358.94112618
1833,IMP_LFE#2,Scan 3,232.061932,20.775773073903682,0.00222452523263715,4198387.501140088
1834,IMP_LFE#2,Scan 3,230.075332,21.33653946732484,0.002230705067754375,4287850.901975282
1835,IMP_LFE#2,Scan 3,228.0847588,20.940547661422933,0.001226181581576184,13927669.708019242
1867,IMP_LFE#2,Scan 4,226.0504804,7.160266927054506,0.0010768421214814837,6174831.951158549
1868,IMP_LFE#2,Scan 4,224.0430211,1.2291551688058335,0.0003046721924586359,13241618.64430241
1891,IMP_LFE#2,Scan 5,237.0651841,12.338589677892628,0.0014249849404068607,6076380.65807468
1892,IMP_LFE#2,Scan 5,220.99657,0.50268407909288,0.00017512001828663692,16391682.853511538
1917,IMP_LFE#2,Scan 6,194.9661502,0.049623763473383556,6.324840297283379e-05,12404822.95
1989,IMP_LFE#2,Scan 8,205.0223194,0.11790894129221276,9.941060594790321e-05,11931122.31
1009,IMP_LFE#1,Scan 2,189.9817708,0.0454326599386023,0.0003984707873760035,14034345.34
1010,IMP_LFE#1,Scan 2,179.9693068,0.024175283472611657,0.00021508055026991897,522599.87
1011,IMP_LFE#1,Scan 2,160.6148563,0.006764552902539624,9.483432256566838e-05,752156.14
1012,IMP_LFE#1,Scan 2,140.8759987,0.0010224713061316797,2.444872549457546e-05,1710561.45
1013,IMP_LFE#1,Scan 2,100.1437456,1.4096971688541868e-05,1.1871791788725863e-06,10002148.2
983,IMP_LFE#1,Scan 1,200.7094108,0.09981984533561744,8.998491914166297e-05,12327568.69
2460,IMP_LFE#3,Scan1,215.06,0.10915060464088594,0.00010978441646323231,2107762.94
2565,IMP_LFE#3,Scan 5,274.6,2.7355482987556785,0.00032509722605597455,25883193.52
2592,IMP_LFE#3,Scan 6,285.03,4.947441014089676,0.0004592509555184469,23457433.18
2617,IMP_LFE#3,Scan 7,294.98,8.81295608730271,0.0006195668515343868,22958592.44